Año,Día,Localidad,Latitud,Longitud,Título,Muertos,Heridos,Detenidos,Liberados,Decomisos
2012, 26 de Mayo       , Monterrey ,25.623003,-100.295299, Matan sicarios a 5 en casa y en taxi  ,0,0,0,0,0
2012, 19 de Mayo       , Monterrey ,25.659728,-100.319531, Ejecutan a hombre; iban por su hermano ,0,0,0,0,0
2012, 13 de Mayo       , Monterrey ,25.755566,-100.369313, Ejecutan a cuatro que ve&#237;an el juego ,0,0,0,0,0
2012, 12 de Mayo       , Monterrey ,25.579105,-100.247841, Ejecutan y tiran cuerpo ,0,0,0,0,0
2012, 11 de Mayo       , Monterrey ,25.767489,-100.396092, Ejecutan a oficial en zona escolar ,0,0,0,0,0
2012, 10 de Mayo       , Monterrey ,25.713707,-100.325934, Ejecutan a mujer de 2 tiros ,0,0,0,0,0
2012, 10 de Mayo       , Monterrey ,25.657659,-100.321012, Matan a hombre ,0,0,0,0,0
2012, 7 de Mayo       , Monterrey ,25.678037,-100.313307, Abaten a sicario al atacar patrulla ,0,0,0,0,0
2012, 4 de Mayo       , Monterrey ,25.68487,-100.283332, Calcinan a dos dentro de un veh&#237;culo  ,0,0,0,0,0
2012, 4 de Mayo       , Monterrey ,25.736803,-100.31096, Persiguen a tres y los acribillan ,0,0,0,0,0
2012, 4 de Mayo       , Monterrey ,25.750889,-100.39032, Matan a guardia ,0,0,0,0,0
2012, 30 de Abril      , Monterrey ,25.685624,-100.316677, Escapa baleado tras atestiguar ejecuci&#243;n ,0,0,0,0,0
2012, 25 de Abril      , Monterrey ,25.700624,-100.335054, Lo matan en su casa ,0,0,0,0,0
2012, 23 de Abril      , Monterrey ,25.640115,-100.301383, Dan a taxista tres balazos ,1,0,0,0,0
2012, 22 de Abril      , Monterrey ,25.68105,-100.318265, Muere atacado por sicarios ,0,0,0,0,0
2012, 22 de Abril      , Monterrey ,25.678037,-100.313307, Encuentran un ejecutado encajuelado ,0,0,0,0,0
2012, 22 de Abril      , Monterrey ,25.746803,-100.354, Deja dos muertos persecuci&#243;n a tiros ,0,0,0,0,0
2012, 18 de Abril      , Monterrey ,25.65872,-100.317516, Lleva rastro de aceite hasta ejecutor de mujer ,0,0,0,0,0
2012, 17 de Abril      , Monterrey ,25.713707,-100.325934, Atacan a tiros a 2 polic&#237;as de la Regia ,0,0,0,0,0
2012, 16 de Abril      , Monterrey ,25.664547,-100.3333, La matan cerca del T&#250;nel ,1,0,0,0,0
2012, 15 de Abril      , Monterrey ,25.666672,-100.308931, Abaten en Macro y desatan p&#225;nico  ,0,0,0,0,0
2012, 15 de Abril      , Monterrey ,25.676341,-100.305541, Levantan y ejecutan a una mujer ,0,0,0,0,0
2012, 15 de Abril      , Monterrey ,25.671937,-100.31937, Muere tras ser baleado en Barrio Antiguo ,0,0,0,0,0
2012, 15 de Abril      , Monterrey ,25.756532,-100.352211, Deja 5 muertos ataque en baile ,0,0,0,0,0
2012, 14 de Abril      , Monterrey ,25.63466,-100.295772, Matan a un joven por no bajarle a m&#250;sica  ,0,0,0,0,0
2012, 8 de Abril      , Monterrey ,25.671937,-100.31937, Ejecutan a dos en bar del Centro  ,0,0,0,0,0
2012, 8 de Abril      , Monterrey ,25.671937,-100.31937, Cobra otra v&#237;ctima ataque a comerciante ,0,0,0,0,0
2012, 7 de Abril      , Monterrey ,25.691347,-100.280345, Tiran a ejecutada en la Nueva Madero ,0,0,0,0,0
2012, 7 de Abril      , Monterrey ,25.71424,-100.349979, Asesinan a pareja en Penal ,0,0,0,0,0
